ticker,signal_days,success_rate
MYRG,67,80.59701492537313
CAPR,206,80.58252427184466
KARO,36,80.55555555555556
ANAB,149,80.53691275167785
PLTR,113,80.53097345132744
STOK,184,80.43478260869566
EYPT,228,80.26315789473685
VKTX,172,80.23255813953489
RLAY,201,80.09950248756219
RGTI,281,80.0711743772242
ORIC,195,80.0
SEPN,125,80.0
PCVX,80,80.0
CECO,75,80.0
VEON,65,80.0
SRAD,55,80.0
FRHC,45,80.0
OSW,30,80.0
KALU,20,80.0
LECO,15,80.0
EWTX,154,79.87012987012987
SLNO,129,79.84496124031007
FLNC,218,79.81651376146789
CRDO,183,79.78142076502732
RIOT,232,79.74137931034483
TERN,202,79.70297029702971
GSAT,152,79.60526315789474
GLBE,78,79.48717948717949
ADPT,190,79.47368421052632
AMSC,190,79.47368421052632
COGT,175,79.42857142857143
GLUE,238,79.41176470588235
VRDN,135,79.25925925925927
VERA,149,79.19463087248322
MLTX,120,79.16666666666666
IDCC,24,79.16666666666666
EXAS,67,79.1044776119403
SAIL,62,79.03225806451613
OUST,238,78.99159663865547
IMNM,190,78.94736842105263
MPWR,57,78.94736842105263
HSAI,204,78.92156862745098
MDGL,90,78.88888888888889
TWST,179,78.77094972067039
TNDM,155,78.70967741935485
INOD,211,78.67298578199052
FELE,14,78.57142857142857
GTX,14,78.57142857142857
APLD,270,78.51851851851852
PTGX,79,78.48101265822784
ROAD,79,78.48101265822784
HOOD,144,78.47222222222221
FTAI,65,78.46153846153847
IMVT,102,78.43137254901961
KYIV,51,78.43137254901961
RYTM,97,78.35051546391753
MSTR,207,78.26086956521739
ATRO,69,78.26086956521739
OCS,46,78.26086956521739
AEIS,55,78.18181818181819
FTNT,32,78.125
NESR,82,78.04878048780488
BEAM,182,78.02197802197803
PPTA,150,78.0
CLMT,109,77.98165137614679
VCEL,95,77.89473684210526
IESC,131,77.86259541984732
WVE,180,77.77777777777779
WLDN,81,77.77777777777779
SATS,112,77.67857142857143
NYAX,76,77.63157894736842
MIRM,67,77.61194029850746
TEM,178,77.52808988764045
DLO,40,77.5
WDC,62,77.41935483870968
ROIV,31,77.41935483870968
RDNT,66,77.27272727272727
CASH,22,77.27272727272727
TRS,22,77.27272727272727
PSNY,233,77.25321888412017
ESTA,158,77.21518987341773
DRS,35,77.14285714285715
SMCI,188,77.12765957446808
ATRC,96,77.08333333333334
CENX,135,77.03703703703704
NUVL,78,76.92307692307693
NVDA,78,76.92307692307693
SBCF,13,76.92307692307693
SYBT,13,76.92307692307693
SNDX,116,76.72413793103449
TARS,103,76.69902912621359
STEP,30,76.66666666666667
MLYS,154,76.62337662337663
PWP,47,76.59574468085107
TMDX,132,76.51515151515152
SSRM,102,76.47058823529412
WERN,17,76.47058823529412
AXGN,114,76.31578947368422
ELE,76,76.31578947368422
ALNT,59,76.27118644067797
BELFB,59,76.27118644067797
ADMA,80,76.25
NVAX,181,76.24309392265194
SEDG,223,76.23318385650224
BTSG,63,76.19047619047619
MRCY,63,76.19047619047619
IDYA,92,76.08695652173914
ACLS,96,76.04166666666666
ICHR,125,76.0
METC,154,75.97402597402598
ALAB,183,75.95628415300546
SANM,54,75.92592592592592
QURE,203,75.86206896551724
IPX,145,75.86206896551724
NXT,124,75.80645161290323
PI,124,75.80645161290323
AUPH,62,75.80645161290323
LIVN,33,75.75757575757575
FRPT,70,75.71428571428571
STRL,107,75.70093457943925
DYN,181,75.69060773480662
WING,74,75.67567567567568
TVTX,135,75.55555555555556
APP,139,75.53956834532374
AMRX,53,75.47169811320755
DAWN,110,75.45454545454545
AEHR,199,75.37688442211056
XMTR,162,75.30864197530865
COIN,196,75.0
PLSE,188,75.0
VSAT,176,75.0
PTCT,92,75.0
EYE,76,75.0
OLLI,56,75.0
DGII,52,75.0
PAHC,36,75.0
INCY,28,75.0
LLYVA,24,75.0
XP,24,75.0
ASTE,20,75.0
PZZA,12,75.0
SITM,143,74.82517482517483
USAR,143,74.82517482517483
UAL,75,74.66666666666667
TSEM,67,74.6268656716418
LIND,110,74.54545454545455
SYM,204,74.50980392156863
SKYT,188,74.46808510638297
SHC,47,74.46808510638297
SAIA,82,74.39024390243902
CPRX,39,74.35897435897436
CLDX,113,74.33628318584071
DXPE,74,74.32432432432432
UCTT,109,74.31192660550458
FIVE,70,74.28571428571429
INSM,66,74.24242424242425
ATEC,97,74.22680412371135
POWL,128,74.21875
PRVA,62,74.19354838709677
RMBS,112,74.10714285714286
CELH,135,74.07407407407408
FTDR,27,74.07407407407408
KLIC,27,74.07407407407408
WLFC,50,74.0
TTMI,73,73.97260273972603
WBD,73,73.97260273972603
VICR,96,73.95833333333334
GH,119,73.94957983193278
NTLA,187,73.79679144385027
ACLX,95,73.68421052631578
AAPG,57,73.68421052631578
NMRK,38,73.68421052631578
GIII,53,73.58490566037736
ZYME,83,73.49397590361446
HROW,147,73.46938775510205
VCYT,98,73.46938775510205
AFRM,177,73.44632768361582
UPWK,90,73.33333333333333
