date,cash,position_value,equity,open_tickers,open_count
2025-06-16,7236.667673747872,6577.303170064091,13813.970843811963,MSTR,1
2025-06-17,6940.5128075177145,6215.727719287841,13156.240526805555,MSTR,1
2025-06-18,6765.349351285562,5769.318403591209,12534.667754876771,PLTR,1
2025-06-20,6024.628112950066,5933.107801567583,11957.735914517649,MSTR,1
2025-06-23,5784.118531341453,5580.306603019438,11364.42513436089,PLTR,1
2025-06-24,6174.8188732368135,5747.63692142602,11922.455794662834,PLTR,1
2025-06-25,8798.770715477323,3698.448771328112,12497.219486805436,COIN,1
2025-06-26,6717.6268736398115,6149.4374902984355,12867.064363938247,HOOD,1
2025-06-27,6141.192095388328,6110.928519520075,12252.120614908403,TQQQ,1
2025-06-30,6950.10576703808,5913.1076998223325,12863.213466860412,TSM,1
2025-07-01,6526.607313294589,5745.295383583591,12271.90269687818,HOOD,1
2025-07-02,6699.8721670123905,6146.560068224149,12846.43223523654,HOOD,1
2025-07-03,12231.776228414124,0.0,12231.776228414124,,0
2025-07-07,6390.455673693357,5841.320554720767,12231.776228414124,PLTR,1
2025-07-08,6203.192550895459,5444.451622046588,11647.644172942048,PLTR,1
2025-07-09,6746.386116624388,5445.703218522318,12192.089335146706,MSTR,1
2025-07-10,7193.721058258637,5542.938598740301,12736.659656998938,MSTR,1
2025-07-11,6796.266616436076,6494.686900436891,13290.953516872967,TQQQ,1
2025-07-14,7768.419537157288,6172.002669759369,13940.422206916657,TSM,1
2025-07-15,7282.463806010783,7275.158667881813,14557.622473892596,HOOD,1
2025-07-16,8359.97438503132,6925.1639556494565,15285.138340680776,PLTR,1
2025-07-17,7998.730442087193,7978.924294158529,15977.654736245722,PLTR,1
2025-07-18,10254.30236778955,6521.2447978720265,16775.547165661577,COIN,1
2025-07-21,9140.624304501689,8287.04734094709,17427.67164544878,AMZN,1
2025-07-22,10259.593473678084,6339.37343767599,16598.966911354073,MSTR,1
2025-07-23,8839.557350116573,7125.472217469904,15965.029567586476,PLTR,1
2025-07-24,10465.145231192142,6212.431558141324,16677.576789333467,MSTR,1
2025-07-25,8646.086623863399,7410.2470096559355,16056.333633519334,HOOD,1
2025-07-28,8529.900880635769,8267.45745384916,16797.35833448493,HOOD,1
2025-07-29,8130.451295935318,7840.161293164694,15970.612589100012,SOXL,1
2025-07-30,8448.794077932305,8305.834640484178,16754.628718416483,SOXL,1
2025-07-31,8121.022943751809,7803.022310616257,15924.045254368066,PLTR,1
2025-08-01,7679.936064767189,7463.806958539251,15143.74302330644,HOOD,1
2025-08-04,10236.60772289917,5653.515996261196,15890.123719160367,MSTR,1
2025-08-05,8156.002732854599,7168.769386679648,15324.772119534247,HOOD,1
2025-08-06,9110.530752087145,5497.364428779138,14607.895180866282,MSTR,1
2025-08-07,8513.003504663935,6644.628119080262,15157.631623744197,PLTR,1
2025-08-08,7961.792467712522,7860.301967939701,15822.094435652223,HOOD,1
2025-08-11,16608.124632446194,0.0,16608.124632446194,,0
2025-08-12,8890.784549853188,7717.340082593006,16608.124632446194,PLTR,1
2025-08-13,9278.223548448394,8101.635092257104,17379.858640705497,MSTR,1
2025-08-14,8608.186286231845,7961.50884524794,16569.695131479784,HOOD,1
2025-08-15,10050.384201953642,7315.461814050938,17365.84601600458,MSTR,1
2025-08-18,10873.656622386801,7223.735575022873,18097.392197409674,MSTR,1
2025-08-19,17375.018639907386,0.0,17375.018639907386,,0
2025-08-20,9759.12736724611,7615.891272661276,17375.018639907386,MSTR,1
2025-08-21,8717.81290117335,7895.616611467907,16613.429512641258,HOOD,1
2025-08-22,8869.083679675598,8533.907494112449,17402.991173788047,MSTR,1
2025-08-25,8550.242414156044,7999.358010220759,16549.600424376804,HOOD,1
2025-08-26,9995.02869202413,5754.635931330594,15749.664623354725,MSTR,1
2025-08-27,8667.827560363014,7657.300656124771,16325.128216487785,TSM,1
2025-08-28,8734.336115307684,8356.52216679258,17090.858282100264,TQQQ,1
2025-08-29,8627.058042164605,7628.148023256403,16255.206065421007,HOOD,1
2025-09-02,8678.385891055397,6814.00537203997,15492.391263095367,MSTR,1
2025-09-03,7969.741554697301,6841.249171194069,14810.99072589137,HOOD,1
2025-09-04,7776.622373885284,7718.493269125493,15495.115643010777,HOOD,1
2025-09-05,8501.359105927562,6221.907210170664,14723.266316098227,MSTR,1
2025-09-08,7706.372036661833,6394.703558419329,14101.075595081162,TSM,1
2025-09-09,7510.311762916868,7230.234188006229,14740.545950923097,TQQQ,1
2025-09-10,9495.163239115715,5968.406130608007,15463.569369723722,MSTR,1
2025-09-11,16060.409982784524,0.0,16060.409982784524,,0
2025-09-12,8682.206648656947,7378.203334127576,16060.409982784524,PLTR,1
2025-09-15,7852.287819709872,7470.301829661895,15322.589649371766,COIN,1
2025-09-16,8127.018352523801,7942.601479814157,16069.619832337958,HOOD,1
2025-09-17,7989.978271139551,7285.381413216992,15275.359684356543,TSM,1
2025-09-18,7376.796254028358,7170.025289006485,14546.821543034843,TSM,1
2025-09-19,7155.971453097052,6673.847561037142,13829.819014134195,PLTR,1
2025-09-22,6649.741276441509,6512.692981588971,13162.43425803048,TQQQ,1
2025-09-23,6650.521713783033,5860.64324608855,12511.164959871583,HOOD,1
2025-09-24,6585.231695864091,6511.997588616348,13097.22928448044,TQQQ,1
2025-09-25,7555.934273873345,4890.095251745459,12446.029525618804,MSTR,1
2025-09-26,7720.423969061409,5214.615081731941,12935.03905079335,MSTR,1
2025-09-29,7048.560533191771,6407.940025774774,13456.500558966545,PLTR,1
2025-09-30,7874.000046931589,6223.294514612433,14097.294561544022,HOOD,1
2025-10-01,7218.298338650262,6256.666771432518,13474.96511008278,TSM,1
2025-10-02,7170.628137592052,6930.00364963398,14100.631787226032,TQQQ,1
2025-10-03,6821.158304834685,6586.473117427949,13407.631422262633,HOOD,1
2025-10-06,12748.98411051984,0.0,12748.98411051984,,0
2025-10-07,6511.17842501215,6237.805685507689,12748.98411051984,PLTR,1
2025-10-08,7137.392882299453,6235.371796771156,13372.76467907061,HOOD,1
2025-10-09,7709.046201263098,6287.255657484628,13996.301858747725,HOOD,1
2025-10-10,13367.576292999263,0.0,13367.576292999263,,0
2025-10-13,7616.190001047198,5751.386291952065,13367.576292999263,HOOD,1
2025-10-14,6613.137440808372,6179.3002229956855,12792.437663804058,TQQQ,1
2025-10-15,6713.260620855154,6697.107065248471,13410.367686103626,TQQQ,1
2025-10-16,6532.3341326060545,6208.322846972724,12740.656979578778,TQQQ,1
2025-10-17,8607.550148960054,4753.939115315998,13361.489264276051,MSTR,1
2025-10-20,7042.478005028001,6794.405170779652,13836.883175807652,PLTR,1
2025-10-21,7802.943577613207,6713.38011527241,14516.323692885617,PLTR,1
2025-10-22,6922.575688811171,6922.409992547205,13844.985681358376,TQQQ,1
2025-10-23,7461.068779321888,7076.15790129121,14537.226680613097,PLTR,1
2025-10-24,15244.842470742218,0.0,15244.842470742218,,0
2025-10-27,7827.491091199567,7417.351379542652,15244.842470742218,TSM,1
2025-10-28,8542.80928225415,7443.768326442334,15986.577608696483,TSM,1
2025-10-29,8666.575459021773,8064.3789823189445,16730.954441340717,TQQQ,1
2025-10-30,15924.516543108823,0.0,15924.516543108823,,0
2025-10-31,15924.516543108823,0.0,15924.516543108823,,0
2025-11-03,8943.521112272221,6980.995430836602,15924.516543108824,HOOD,1
2025-11-04,15226.417000025163,0.0,15226.417000025163,,0
2025-11-05,7911.3948536758535,7315.02214634931,15226.417000025163,HOOD,1
2025-11-06,14494.914785390232,0.0,14494.914785390232,,0
2025-11-07,7540.55355012108,6954.3612352691525,14494.914785390232,TQQQ,1
2025-11-10,9285.706116299565,5904.644792617584,15190.35090891715,MSTR,1
2025-11-11,8327.327618625386,6272.558811030005,14599.886429655391,TSM,1
2025-11-12,7853.992170611332,7373.150140147062,15227.142310758394,HOOD,1
2025-11-13,14489.827296743686,0.0,14489.827296743686,,0
2025-11-14,7778.285010850306,6711.54228589338,14489.827296743686,MSTR,1
2025-11-17,7051.0459399826905,6767.627128171658,13818.673068154349,TSM,1
2025-11-18,6910.201190907304,6231.709164429878,13141.910355337182,TQQQ,1
2025-11-19,6926.951700755276,6838.129571024895,13765.081271780171,TSM,1
2025-11-20,6602.317225649255,6478.951089028425,13081.26831467768,MSTR,1
2025-11-21,6454.5329099533365,5978.840295821502,12433.373205774838,TQQQ,1
2025-11-24,6566.859513191388,6464.3977221656005,13031.257235356989,TSM,1
2025-11-25,7762.558659426998,4622.258803713431,12384.817463140429,ASML,1
2025-11-26,7757.745097662207,5089.298245849565,12847.043343511772,COIN,1
2025-11-28,6684.996644524541,6670.976523572188,13355.973168096729,TSM,1
2025-12-01,7238.418558345951,5450.456957393559,12688.87551573951,ASML,1
2025-12-02,13233.921211478866,0.0,13233.921211478866,,0
2025-12-03,6986.180525626596,6247.74068585227,13233.921211478866,TSM,1
2025-12-04,6376.019651198758,6233.1274916948805,12609.147142893638,TSM,1
2025-12-05,6882.371392556571,6350.088499506554,13232.459892063125,PLTR,1
2025-12-08,7159.123085769479,6708.3456562443025,13867.468742013782,COIN,1
2025-12-09,7422.42601690394,7115.877290734273,14538.303307638213,TSM,1
2025-12-10,7890.184013435096,7359.7070232765445,15249.89103671164,TSM,1
2025-12-11,9011.798131480838,5502.122202903146,14513.920334383984,ASML,1
2025-12-12,8125.349229474585,5838.358884619085,13963.70811409367,COIN,1
2025-12-15,7159.469677501071,6220.402548130691,13379.872225631761,PLTR,1
2025-12-16,7441.889618643923,6560.022861800908,14001.912480444831,TSM,1
2025-12-17,13345.910194264741,0.0,13345.910194264741,,0
