ticker,signal_days,success_rate
WYNN,22,68.18181818181817
TTWO,25,68.0
NOW,43,67.44186046511628
ZS,61,67.21311475409836
FSLR,94,67.02127659574468
NCLH,78,66.66666666666666
CNC,48,66.66666666666666
CPAY,27,66.66666666666666
ETN,24,66.66666666666666
META,24,66.66666666666666
COF,21,66.66666666666666
HWM,21,66.66666666666666
TYL,21,66.66666666666666
DHI,18,66.66666666666666
AAPL,12,66.66666666666666
DHR,12,66.66666666666666
OXY,12,66.66666666666666
AVGO,50,66.0
ASML,29,65.51724137931035
ORCL,52,65.38461538461539
INTC,83,65.06024096385542
HUBB,17,64.70588235294117
ODFL,31,64.51612903225806
IRM,14,64.28571428571429
MOS,14,64.28571428571429
MELI,50,64.0
IDXX,25,64.0
IQV,36,63.888888888888886
UBER,47,63.829787234042556
TECH,44,63.63636363636363
A,11,63.63636363636363
BR,11,63.63636363636363
LVS,11,63.63636363636363
MAR,11,63.63636363636363
MET,11,63.63636363636363
TEL,11,63.63636363636363
ALGN,52,63.46153846153846
SYF,19,63.1578947368421
ULTA,27,62.96296296296296
CCL,62,62.903225806451616
SHOP,91,62.637362637362635
FICO,48,62.5
ERIE,16,62.5
MCK,16,62.5
DLTR,45,62.22222222222222
CDNS,37,62.16216216216216
WDAY,37,62.16216216216216
APO,29,62.06896551724138
AMAT,42,61.904761904761905
NXPI,21,61.904761904761905
AXON,55,61.81818181818181
TEAM,78,61.53846153846154
AMZN,26,61.53846153846154
EMR,13,61.53846153846154
FTV,13,61.53846153846154
SWKS,13,61.53846153846154
VRSK,13,61.53846153846154
EXPE,36,61.111111111111114
NRG,36,61.111111111111114
SW,18,61.111111111111114
KKR,41,60.97560975609756
EPAM,46,60.86956521739131
SNPS,51,60.78431372549019
RVTY,28,60.71428571428571
WAT,28,60.71428571428571
DECK,53,60.37735849056604
XYZ,78,60.256410256410255
PANW,50,60.0
APTV,40,60.0
CARR,15,60.0
GOOG,15,60.0
GOOGL,15,60.0
MTD,32,59.375
DASH,59,59.32203389830508
EL,22,59.09090909090909
HPE,22,59.09090909090909
FFIV,17,58.82352941176471
GPN,17,58.82352941176471
GDDY,24,58.333333333333336
PTC,24,58.333333333333336
NTAP,12,58.333333333333336
RJF,12,58.333333333333336
TRI,12,58.333333333333336
VLTO,12,58.333333333333336
ALNY,43,58.139534883720934
CSGP,31,58.06451612903226
GEHC,19,57.89473684210527
LEN,19,57.89473684210527
APH,26,57.692307692307686
ARES,26,57.692307692307686
PYPL,28,57.14285714285714
SOLV,28,57.14285714285714
IR,21,57.14285714285714
CDW,14,57.14285714285714
J,14,57.14285714285714
WFC,14,57.14285714285714
DDOG,67,56.71641791044776
UHS,30,56.666666666666664
LYV,23,56.52173913043478
BX,16,56.25
REGN,16,56.25
TXT,16,56.25
CBRE,25,56.00000000000001
TTD,77,55.84415584415584
CMG,36,55.55555555555556
LUV,18,55.55555555555556
NEM,29,55.172413793103445
AKAM,20,55.00000000000001
ADSK,33,54.54545454545454
EBAY,11,54.54545454545454
HBAN,11,54.54545454545454
HII,11,54.54545454545454
IBM,11,54.54545454545454
WAB,11,54.54545454545454
ZBH,11,54.54545454545454
LLY,24,54.166666666666664
ABNB,37,54.054054054054056
DELL,39,53.84615384615385
KEYS,26,53.84615384615385
WST,26,53.84615384615385
ARE,13,53.84615384615385
MTCH,13,53.84615384615385
QCOM,13,53.84615384615385
GNRC,56,53.57142857142857
NFLX,30,53.333333333333336
BKNG,15,53.333333333333336
LULU,47,53.191489361702125
ZBRA,40,52.5
HUM,42,52.38095238095239
EFX,27,51.85185185185185
INTU,27,51.85185185185185
ADBE,31,51.61290322580645
BA,33,51.515151515151516
DXCM,35,51.42857142857142
JBL,39,51.28205128205128
MOH,51,50.98039215686274
CRL,55,50.90909090909091
ACN,22,50.0
AMP,18,50.0
GE,16,50.0
AXP,14,50.0
LDOS,14,50.0
ADI,12,50.0
ELV,12,50.0
JBHT,12,50.0
TMO,12,50.0
CHTR,43,48.837209302325576
URI,25,48.0
BAX,17,47.05882352941176
VRTX,17,47.05882352941176
COO,15,46.666666666666664
GRMN,13,46.15384615384615
IP,13,46.15384615384615
JCI,13,46.15384615384615
MCO,13,46.15384615384615
NDAQ,11,45.45454545454545
NKE,11,45.45454545454545
TDY,11,45.45454545454545
SPGI,14,42.857142857142854
FISV,19,42.10526315789473
BIIB,20,40.0
AZO,13,38.46153846153847
DVA,19,36.84210526315789
UNH,12,33.33333333333333
AJG,13,30.76923076923077
AON,11,27.27272727272727
BRO,11,18.181818181818183
