date,cash,position_value,equity,open_tickers,open_count
2025-06-13,12174.752628508973,7736.736553670093,19911.489182179066,AXON,1
2025-06-16,10882.440567329157,9802.722270216918,20685.162837546075,INSM,1
2025-06-17,11440.11937974639,10225.31568482138,21665.43506456777,AXON,1
2025-06-18,10324.075904078163,10318.827592007467,20642.90349608563,GEHC,1
2025-06-20,11943.40984239952,7667.610894485362,19611.020736884882,AXON,1
2025-06-23,9706.503351269817,9137.756296166528,18844.259647436345,GILD,1
2025-06-24,10370.600438070982,9387.434838982015,19758.035277052997,VRSK,1
2025-06-25,9447.706510060238,9371.585283094559,18819.291793154796,GILD,1
2025-06-26,10266.036580641301,9490.413740822953,19756.450321464254,DASH,1
2025-06-27,11413.869984780858,7393.5389626011,18807.40894738196,AXON,1
2025-06-30,10117.816253828425,9428.946589813646,19546.76284364207,AXON,1
2025-07-01,9334.330354379115,9269.537830281592,18603.868184660707,BKR,1
2025-07-02,10121.685191183216,9409.13677650565,19530.821967688866,TRI,1
2025-07-03,10274.899198325189,10196.836447014242,20471.73564533943,VRSK,1
2025-07-07,11291.20417745748,10200.215112583377,21491.419290040856,AXON,1
2025-07-08,10242.747108898566,10228.650669883951,20471.397778782517,ROP,1
2025-07-09,10485.272407662922,8963.260304131198,19448.53271179412,DASH,1
2025-07-10,9314.946239418949,9237.260441962053,18552.206681381,CTAS,1
2025-07-11,994.4596451054422,17478.278533644727,18472.73817875017,"CTAS,DASH",2
2025-07-14,10923.678068390935,9846.166338715724,20769.84440710666,TTWO,1
2025-07-15,10422.31765343901,9362.910119796079,19785.22777323509,TTWO,1
2025-07-16,9837.094968892121,9011.841792363357,18848.936761255478,TRI,1
2025-07-17,9952.770573353964,9797.350367137851,19750.120940491815,FTNT,1
2025-07-18,11489.414536498345,9240.441440707258,20729.855977205603,AXON,1
2025-07-21,11004.54026670213,10649.359854574202,21653.900121276332,ORLY,1
2025-07-22,11557.512643279048,11161.323463454706,22718.836106733754,ORLY,1
2025-07-23,11053.834461889262,10548.86929849902,21602.70376038828,DASH,1
2025-07-24,12075.769648980135,10581.821041258052,22657.590690238187,DASH,1
2025-07-25,12051.01270687918,11664.760087484814,23715.772794363995,DASH,1
2025-07-28,11710.498447334605,10838.79833828091,22549.296785615516,TTWO,1
2025-07-29,11425.567848496095,10039.84910329133,21465.416951787425,COST,1
2025-07-30,11685.0958355843,8776.336205873995,20461.432041458294,AXON,1
2025-07-31,11294.820538571945,10044.24512347375,21339.065662045694,DASH,1
2025-08-01,10279.65657752632,10054.984572172,20334.64114969832,ORLY,1
2025-08-04,12444.304359964834,8895.835246950686,21340.13960691552,COST,1
2025-08-05,10387.016201175415,10063.539881045039,20450.556082220453,ORLY,1
2025-08-06,11278.953306905572,10177.956763419388,21456.91007032496,DASH,1
2025-08-07,12033.147273826487,10441.558472840412,22474.7057466669,PLTR,1
2025-08-08,15161.416145317184,8357.445448633756,23518.86159395094,KLAC,1
2025-08-11,12355.89975619698,11998.706382617336,24354.606138814317,LIN,1
2025-08-12,13013.799142862417,12540.677634213635,25554.47677707605,PLTR,1
2025-08-13,13622.819065205527,13185.725475291889,26808.544540497416,TRI,1
2025-08-14,14080.53691450584,14046.580173520768,28127.117088026607,BKR,1
2025-08-15,15990.054436900913,13541.720668477772,29531.775105378685,DASH,1
