date,Always On (0),Gate >= 35,Gate >= 50,Gate >= 60,Gate >= 70
2024-09-13,322146.43302948214,189492.24772914493,294626.86577754054,200548.5080057617,181266.27198998252
2024-09-16,306072.52120177576,180030.79853515583,279924.68821959465,190524.29603443496,172226.89487899665
2024-09-17,321358.54368999036,189006.69694986905,293894.69552670466,200040.09811319108,180831.60952468036
2024-09-18,337423.42056881654,198427.45808251403,308571.249712299,210022.79938357277,189855.70703068766
2024-09-19,354196.2419207046,208333.55391450162,323993.2398143706,220491.74156965056,199311.5257794031
2024-09-20,354196.2419207046,208333.55391450162,323993.2398143706,220491.74156965056,199311.5257794031
2024-09-23,336693.91339257086,198054.40858845483,307879.9849789458,209656.96676652014,189588.00993043993
2024-09-24,319874.59570602665,188163.64565039746,292491.56446871953,199188.8242660889,180124.00579935458
2024-09-25,335858.63973316853,197571.67156427074,307083.60466166586,209124.8516343122,189100.03052330512
2024-09-26,352634.5541157463,207446.71734219597,322421.02812383714,219563.6303405048,198547.41683840682
2024-09-27,370236.72242937074,217800.93399726917,338514.43915343663,230539.0999948824,208457.88135111972
2024-09-30,351741.0785299267,206922.29233730052,321600.7880268067,219015.9427608043,198047.9782905034
2024-10-01,334168.0286582706,196588.0055564079,305551.6882795219,208110.17468327243,188189.9259234768
2024-10-02,350870.01677968167,206414.58118466884,320817.9754162844,218511.03070539277,197585.7912563432
2024-10-03,333338.3986986306,196110.36749509937,304793.78739402804,207587.32521083916,187715.2218302626
2024-10-04,349970.84654560906,205889.02449699747,320029.28424073535,217933.49355659744,197057.33164457598
2024-10-07,367460.62107338075,216173.6098603367,336024.20624476584,228816.01992943315,206908.40977603028
2024-10-08,385811.4622879398,226866.22600110338,352785.6045194812,240231.11013376515,217167.54147865777
2024-10-09,372011.9896726579,218769.27517432836,340183.3464233333,231630.06898314424,209417.15274952684
2024-10-10,348023.51861841127,204733.52481368693,318236.3902026048,216682.25335141702,195946.12717010156
2024-10-11,365404.65723504964,214948.032815882,334134.77765763423,227514.5743376158,205707.57231736055
2024-10-14,347142.38459815935,204209.5429132911,317445.6595924611,216160.5022113095,195425.06924715143
2024-10-15,329820.3731647972,194039.24665616962,301609.71884507104,205386.48973801185,185672.7303704596
2024-10-16,346303.2062765631,203735.0308395613,316688.3349371733,215650.64747698169,194950.59282180856
2024-10-17,328993.47185060434,193548.85280981823,300867.6099242002,204872.24979434657,185204.3493913567
2024-10-18,345410.5960715121,203203.48285682878,315881.1976184501,215079.78817004053,194433.66533937998
2024-10-21,362670.58109804115,213346.38763785077,331670.8876242007,225819.3344087697,204150.39765061112
2024-10-22,380801.0973917544,224009.0481013341,348243.9366592029,237081.02074098808,214333.83741910645
2024-10-23,361777.853574342,212822.5536391383,330833.5330784841,225232.84823296923,203622.92405234597
2024-10-24,379852.8114815068,223456.10112351394,347374.60694306844,236488.2405994721,213800.451956495
2024-10-25,398758.533584535,234565.64916343775,364721.0942334758,248279.95386991755,224422.73911747476
2024-10-28,418533.67022656044,246274.61164884755,382935.0358774466,260509.31468801224,235611.30327019969
2024-10-29,397612.48781095166,233976.34901264508,363794.98115397745,247504.25534857973,223850.20612845203
2024-10-30,377734.1106500473,222298.33910386328,345612.49146144395,235139.30368045782,212665.9356091959
2024-10-31,396581.0574477314,233375.40297226957,362865.61611978896,246893.74195808318,223264.8528358005
2024-11-01,376772.53982423455,221739.35823862406,344730.50961183314,234557.1995481647,212134.72309057438
2024-11-04,395584.11790918955,232823.35860403322,361941.9327144579,246265.65063838562,222711.35724207398
2024-11-05,415352.75557757175,244449.66630207186,380027.3002447402,258557.4372282312,233828.76931696615
2024-11-06,436109.55386812415,256637.14419744207,398879.80511414097,271316.2031499469,245444.95918599088
2024-11-07,457913.86060857284,269450.8504707308,418793.5650273831,284844.1160024025,257712.5074869755
2024-11-08,480806.72911498114,282866.8706677531,439688.30286614975,299059.38846648147,270557.63320752874
2024-11-11,504825.38980894303,296989.20123168617,461620.7101813488,313984.12417609256,284038.03965491935
2024-11-12,530062.0793445876,311831.0428748957,484689.4902634909,329659.77714757225,298212.8322355127
2024-11-13,556520.9092779746,327379.0151037932,508911.5943674575,346135.17228135135,313106.1530021408
2024-11-14,584308.5735925813,343744.0822297868,534337.8563786489,363433.8170621835,328757.3078038461
2024-11-15,555121.3448745625,326567.3816764544,507651.44996341405,345269.9498103837,312337.435052672
2024-11-18,582863.905605644,342830.2621050194,533002.4106314713,362489.47026415844,327643.67545602727
2024-11-19,611803.0366119869,359443.4669419941,559261.9924705602,380174.49476803467,343720.9704595511
2024-11-20,642194.905627135,377244.4187937236,587048.8441415527,399060.87051316234,360870.6679752417
2024-11-21,674280.5128469963,396077.27520538145,616344.398559687,418823.7445253958,378773.50678632385
2024-11-22,707970.5830984968,415817.55074337,647139.2283989491,439748.43659566366,397658.37038433296
2024-11-25,672639.86966395,395207.96790655114,615488.7976138345,418402.7972289584,377784.84407740046
2024-11-26,706008.9576389638,414962.46798775933,646188.3585508473,439225.108125367,396471.5333434082
2024-11-27,741295.0682331424,435686.0567494198,678433.942608566,461148.9047303669,416234.9558303971
2024-11-29,778305.8105099616,457401.1389418148,712353.8520185845,484132.02091939806,436999.01252531493
2024-12-02,817209.7314196778,480263.00481505436,747925.365360337,508311.3502497396,458775.9084927059
2024-12-03,858063.7995297448,504269.64068597823,785318.2603165118,533723.8489469684,481712.86612622393
2024-12-04,900929.8734728035,529465.7299502189,824475.8189566088,560337.8999446945,505709.1416159769
2024-12-05,856286.5815935538,503739.0871723462,783615.8568976345,532341.2592746564,480739.16480215924
2024-12-06,899072.3703503143,528875.738066943,822791.5947280433,558948.6716577669,504672.4653879722
2024-12-09,854156.4250106742,502473.05163475935,781685.8842725044,531021.8912719428,479480.0888601501
2024-12-10,896660.3310403349,527588.9961068316,820567.2983110008,557345.333074403,503388.53600183426
2024-12-11,941133.4484643681,553785.4899319471,861385.0910152504,584760.2684727795,528366.5882536885
2024-12-12,987930.1784953233,581218.0558121621,904308.9882160575,613806.5146988896,554508.2098571876
2024-12-13,1037313.6988109611,610231.6295594156,949521.8073055276,644452.101969426,582191.994807692
2024-12-16,1088877.8801150057,640641.2749438522,996458.433877158,676183.9058488382,611279.4816971531
2024-12-17,1034466.0193227183,608659.3818449373,946651.9656911143,642411.0267363839,580747.4344187223
2024-12-18,982801.972887801,578237.3710309882,899364.4190575021,610387.8574585426,580747.4344187223
2024-12-19,982801.972887801,578237.3710309882,899364.4190575021,610387.8574585426,580747.4344187223
2024-12-20,1031914.7418915392,607133.3862929463,944329.2678969784,640887.2704310556,580747.4344187223
2024-12-23,980613.0558080347,577248.9089627494,897510.2534130034,609010.494612179,580747.4344187223
2024-12-24,1029594.5563102198,606061.556316976,942375.6614360133,639332.3758754365,580747.4344187223
2024-12-26,1000461.211372362,588846.3979446054,915701.6248370656,621171.3296804082,564288.986304478
2024-12-27,928514.9949622753,546401.460117297,849740.4161098235,576498.4886737706,523653.8652230026
2024-12-30,882171.8867731274,519197.0986729299,807361.7626035231,547790.3685565992,497543.1464497659
2024-12-31,838282.3205773521,493532.86081268836,767191.6511701015,520638.3487914162,472994.7450182305
2025-01-02,880178.7275489798,518190.02383919165,805527.4569826673,546660.4089288932,472994.7450182305
2025-01-03,924164.5019495152,544095.2416722897,845796.5172820139,573990.8329210937,472994.7450182305
2025-01-06,970324.0218647388,571021.6282895035,887724.7478716754,602455.8702021482,472994.7450182305
2025-01-07,921909.6589159467,542524.5665538221,843447.0551748371,572426.7083731506,472994.7450182305
2025-01-08,967982.3211962988,569588.7224639063,885562.5562777356,601045.4633172343,472994.7450182305
2025-01-10,919603.7334274655,541121.0500693207,841297.7939994493,571041.9627395112,472994.7450182305
2025-01-13,873748.6355089949,514099.29593879334,799373.1330454191,542546.2947473187,472994.7450182305
2025-01-14,917322.8992774966,539702.2531813028,839254.6625962511,569626.3456768959,472994.7450182305
2025-01-15,963074.3227978351,566625.2062528867,881134.8118187148,597957.0348567979,472994.7450182305
2025-01-16,1011218.3424908742,594954.9442290997,925172.6729918553,627830.0270418319,472994.7450182305
2025-01-17,1061770.8335315266,624553.0348383936,971272.353940844,658999.6976834775,472994.7450182305
2025-01-21,1114669.5806364184,655669.9449000946,1019762.872120328,691931.7608321111,472994.7450182305
2025-01-22,1059175.1674774524,623026.1724536441,969165.0248283297,657655.799763338,449600.0414316076
2025-01-23,1112062.8541677238,654112.8279891472,1017611.760727815,690357.3464954905,471804.79538553837
2025-01-24,1056665.2544613644,621629.6899795091,966746.6919065213,655859.7503147121,448386.7191460319
2025-01-27,1003832.540063794,590576.7435264336,918428.5512565493,623098.5867679508,425996.8736680777
2025-01-28,1053980.279854654,620083.0265517655,964305.6448200587,654222.5388187943,447285.3980438106
2025-01-29,1106619.681930642,650902.9873527326,1012308.4156251047,686678.9577153879,469377.5823347693
2025-01-30,1161823.9580366672,683299.8630018083,1062847.5416376628,720890.0584008119,492703.33280210383
2025-01-31,1219901.478347564,717400.4253861882,1115863.2597196284,756855.4952905875,517213.1120158769
2025-02-03,1158924.878243486,681542.5441309542,1060104.5577339092,719056.0705494524,491366.31435981987
2025-02-04,1216805.028016007,715472.2871010527,1112995.0394225921,754981.6807530862,515815.6879706261
2025-02-05,1156005.8823286565,679725.839033809,1057370.2891128885,717251.7144577446,490029.95100535266
2025-02-06,1213774.743649213,713707.5221635483,1110211.806379633,753102.3901596195,514530.74454189464
2025-02-07,1274443.4608370597,749364.6046674785,1165712.830450968,790723.1960478241,540214.1793309574
2025-02-10,1210756.4802869717,711925.9728228806,1107433.235041925,751219.2434896326,513214.80491143296
2025-02-11,1271287.761659972,747500.5789671326,1162791.6782766026,788767.6957656129,538874.8046239004
2025-02-12,1207899.9913053685,710202.2872645764,1104815.0590498312,749343.5946914083,512012.30438216304
2025-02-13,1147649.0835199757,674722.9728657509,1049678.286673278,711946.4795142679,486441.6273379645
2025-02-14,1205002.3140726034,708454.5569102843,1102135.509739706,747522.0144302272,510762.7034869447
2025-02-18,1265246.5403352226,743875.0221884693,1157212.2073652493,784872.1264779532,536273.2878978258
2025-02-19,1328332.4367232593,781003.700791845,1215040.9457209497,823972.2393434551,562887.6504365287
2025-02-20,1263300.6284866713,741984.6158498921,1154886.5231021056,783327.3591955875,535249.1319359788
2025-02-21,1200149.4102200684,704911.6210132956,1097163.973217507,744192.8447202554,508518.0939537062
2025-02-24,1260139.6492604814,740153.750045014,1151992.658927377,781383.3746780725,533915.670937767
2025-02-25,1197153.157553144,703152.5446788511,1094418.1692497379,742347.8706766331,507239.49072046083
2025-02-26,1256574.5335819437,737815.0140289844,1148887.7639428042,778248.2853606995,531998.3973991274
2025-02-27,1319381.3779610684,774697.4687055573,1206328.7121989566,817134.869914527,558569.2806104708
2025-02-28,1319381.3779610684,774697.4687055573,1206328.7121989566,817134.869914527,558569.2806104708
2025-03-03,1253415.9183990126,735985.8668040473,1146036.5046397084,776309.7035413829,530647.98153783
2025-03-04,1190761.7193360627,699208.4789784127,1088736.1285913754,737506.5448453528,504120.0296636018
2025-03-05,1250275.917700961,734164.4731233972,1143152.57781013,774364.0803385018,529325.5671084228
2025-03-06,1187776.1985408608,697478.2024485208,1086013.23602325,735662.9160410675,502865.83198954817
2025-03-07,1247140.1001890386,732328.2581192323,1140308.038664779,772413.8838392723,527973.7130068563
2025-03-10,1184798.5301235782,695715.5902053065,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-11,1184798.5301235782,695715.5902053065,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-12,1244005.1001444226,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-13,1181839.1877262131,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-14,1240642.5183946323,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-17,1302663.968928326,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-18,1237543.4990876731,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-19,1299416.5211407985,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-20,1364379.6043627374,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-21,1296320.4414322535,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-24,1360759.7704390353,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-25,1428772.2854734864,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-26,1357539.966066591,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-27,1348018.9441902293,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-28,1222533.4267927143,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-03-31,1283633.1184933167,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-01,1347791.0600933721,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-02,1280507.1804716373,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-03,1216697.0565696969,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-04,1155996.988600099,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-07,1098199.1384291993,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-08,1043323.6052479288,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-09,1095477.2371482027,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-10,1040704.6424955081,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-11,1092711.735117361,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
