ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,pnl,return_pct,exit_reason,score_column,score_threshold
TTWO,2025-05-14,2025-05-15,92.5,40,5888.046219104377,5,11.776092438208755,12.953701682029632,588.804621910439,10.000000000000021,tp_day1,score_w5,0.5
AMAT,2025-05-15,2025-05-16,93.93939393939394,33,5909.699615583638,7,8.44242802226234,7.598185220036106,-590.9699615583631,-9.99999999999999,stop,score_w5,0.5
MNST,2025-05-19,2025-05-20,97.05882352941177,34,6351.0143653764,40,1.5877535913441,1.7465289504785102,635.1014365376404,10.000000000000007,tp_day1,score_w5,0.5
MNST,2025-05-20,2025-05-21,97.22222222222221,36,6590.157990100452,44,1.4977631795682846,1.6475394975251132,659.0157990100461,10.000000000000014,tp_day1,score_w5,0.5
MNST,2025-05-22,2025-05-23,96.15384615384616,26,6988.757096358644,48,1.4559910617413843,1.6015901679155229,698.8757096358659,10.000000000000021,tp_day1,score_w5,0.5
AXON,2025-06-02,2025-06-03,97.14285714285714,35,5192.947872478821,1,51.92947872478822,57.122426597267044,519.2947872478826,10.000000000000009,tp_day1,score_w5,0.5
AXON,2025-06-05,2025-06-06,97.36842105263158,38,5130.216796932202,1,51.30216796932202,46.17195117238982,-513.02167969322,-9.999999999999996,stop,score_w5,0.5
CRWD,2025-06-12,2025-06-13,97.14285714285714,35,6460.379969076872,3,21.534599896922906,19.381139907230615,-646.0379969076876,-10.000000000000005,stop,score_w5,0.5
MSFT,2025-06-13,2025-06-16,100.0,14,7021.0089096559595,8,8.77626113706995,9.653887250776945,702.1008909655966,10.000000000000009,tp_day1,score_w5,0.5
CDNS,2025-06-16,2025-06-17,92.85714285714286,28,6893.203269443022,4,17.233008173607555,18.956308990968314,689.3203269443038,10.000000000000025,tp_day1,score_w5,0.5
CRWD,2025-07-02,2025-07-03,100.0,37,6785.316774120956,3,22.61772258040319,24.87949483844351,678.5316774120965,10.000000000000012,tp_day1,score_w5,0.5
WBD,2025-07-11,2025-07-14,100.0,27,8068.556181584546,134,0.6021310583272049,0.6623441641599255,806.8556181584545,10.0,tp_day1,score_w5,0.5
UPRO,2025-07-22,2025-07-23,100.0,19,8269.995187263143,30,2.7566650624210474,3.0323315686631522,826.9995187263139,9.999999999999995,tp_day1,score_w5,0.5
CSGP,2025-08-01,2025-08-04,90.9090909090909,11,8897.002428735384,25,3.558800971494154,3.91468106864357,889.7002428735395,10.000000000000012,tp_day1,score_w5,0.5
ALNY,2025-08-04,2025-08-05,100.0,37,9062.452074679344,3,30.208173582264482,33.22899094049093,906.245207467935,10.000000000000005,tp_day1,score_w5,0.5
ALNY,2025-08-06,2025-08-07,100.0,33,9081.42485620574,3,30.271416187352468,33.298557806087715,908.142485620574,10.0,tp_day1,score_w5,0.5
ALNY,2025-08-08,2025-08-11,100.0,14,8989.8732397618,3,29.966244132539334,26.9696197192854,-898.98732397618,-10.0,stop,score_w5,0.5
AVGO,2025-08-11,2025-08-12,100.0,25,9335.083020172166,8,11.668853775215206,12.835739152736728,933.5083020172169,10.000000000000004,tp_day1,score_w5,0.5
ALNY,2025-08-13,2025-08-14,100.0,12,8838.639323552152,3,29.462131078507173,32.408344186357894,883.8639323552161,10.00000000000001,tp_day1,score_w5,0.5
ALNY,2025-08-14,2025-08-15,100.0,36,9043.750325971092,3,30.14583441990364,33.160417861894004,904.3750325971087,9.999999999999993,tp_day1,score_w5,0.5
ALNY,2025-08-15,2025-08-18,100.0,28,8995.575335173466,3,29.985251117244882,32.983776228969376,899.5575335173471,10.000000000000005,tp_day1,score_w5,0.5
SOXL,2025-08-18,2025-08-19,96.875,32,11391.494287893667,47,2.4237221889135463,2.181349970022192,-1139.1494287893656,-9.999999999999991,stop,score_w5,0.5
