Date,Adj Close,market_norm,equity,strategy_equity_norm,return_20d,return_60d,drawdown_63d,realized_vol_20d,pct_above50,pct_above200,median_member_ret20,trend_score,breadth_score,pullback_score,vol_score,stress_penalty,reversal_score,regime_raw,regime_plot,strategy_forward_20d_return,market_forward_20d_return
2022-07-25,293.3498229980469,162.14707134582,40490.36452710186,404.9036452710186,0.019211783747618894,-0.05023612964944013,0.08723543679202495,0.24866746131662418,0.673469387755102,0.19387755102040816,0.021924827048118933,0.0,0.0,25.0,15.0,10,26.8,risk_off,risk_off,-7.589670886265731,4.692458881868977
2022-07-26,287.5858154296875,158.96105631137138,42512.9755676966,425.129755676966,0.00656516004660479,-0.10083272767763984,0.10517027580672589,0.25785985182654286,0.5102040816326531,0.17346938775510204,0.014618729413080178,0.0,0.0,12.0,15.0,10,26.8,risk_off,risk_off,-7.647460055982746,6.702451246931651
2022-07-27,299.7391357421875,165.67871946064372,44527.22806252378,445.27228062523784,0.0820695227474888,-0.018676009933682236,0.06735494667786013,0.27108378054058835,0.7755102040816326,0.24489795918367346,0.07496944147958984,0.0,0.0,25.0,15.0,0,31.4,risk_off,risk_off,-16.223318695911725,2.6726629560290593
2022-07-28,302.6700134277344,167.29874168641953,46751.27399500839,467.5127399500839,0.09164912263708702,-0.025352991584020268,0.05823545492864568,0.2715330180410656,0.8163265306122449,0.2653061224489796,0.09993829701990598,0.0,0.0,25.0,15.0,0,31.4,risk_off,risk_off,-16.224448670992896,3.4763237466513885
2022-07-29,308.18975830078125,170.3497422174361,49065.09381343521,490.6509381343521,0.1255172441463699,-0.008636910871618997,0.04106064477680993,0.26794569500437165,0.8469387755102041,0.2857142857142857,0.11311195170976163,0.0,0.0,18.0,15.0,0,32.0,risk_off,risk_off,-24.07755311953639,-2.5423017197553577
2022-08-01,308.0041198730469,170.2471318695629,46616.47656885403,466.16476568854023,0.1174633870459143,-0.04163826291434225,0.04163826291434225,0.26897227802882256,0.8469387755102041,0.30612244897959184,0.0960931337371056,0.0,0.0,18.0,15.0,0,32.6,risk_off,risk_off,-20.089585208497162,-3.4446453711645786
2022-08-02,307.0858154296875,169.73954548490852,44291.27709658818,442.9127709658818,0.0953789401048224,0.00617961366440456,0.04449558781595109,0.2671143813867712,0.8367346938775511,0.2653061224489796,0.09655593335683132,0.0,0.0,18.0,15.0,0,35.8,caution,risk_off,-20.097415187609748,-4.234397751353825
2022-08-03,315.44854736328125,174.36198731093077,42105.150671955205,421.05150671955204,0.11804005969734677,0.04611379713872199,0.01847475956870548,0.27885182414024845,0.8775510204081632,0.336734693877551,0.11816924778996452,0.0,0.0,6.0,15.0,0,32.0,risk_off,risk_off,-19.914799277414897,-7.31518761745863
2022-08-04,316.9237060546875,175.17737100244725,44192.64696608766,441.92646966087665,0.09973546934600153,0.09380275171815189,0.0,0.27264579416735385,0.8469387755102041,0.32653061224489793,0.1013912350574343,0.0,0.0,6.0,15.0,0,28.2,risk_off,risk_off,-19.993979489694468,-7.706532410922106
2022-08-05,314.3348388671875,173.74639269720655,41989.69156260743,419.8969156260743,0.0893854311365454,0.07184623707933535,0.00816873947275265,0.27634532212603696,0.8367346938775511,0.32653061224489793,0.10388660306588837,0.0,0.0,6.0,15.0,0,25.8,risk_off,risk_off,-11.588005303709071,-8.261075303559451
2022-08-08,313.31878662109375,173.18477689544912,44076.37949677947,440.76379496779464,0.10956962640376333,0.10103654864850808,0.011374723205375137,0.26096246353519115,0.8571428571428571,0.336734693877551,0.12070181426765259,10.0,0.0,6.0,15.0,0,25.4,risk_off,risk_off,-11.567778929169393,-8.624638763863823
2022-08-09,309.7724304199219,171.2245532072523,41873.09259589583,418.7309259589584,0.10774185458653918,0.09115391850709198,0.022564659879156013,0.2622692885497005,0.8163265306122449,0.30612244897959184,0.12057401578504279,10.0,0.0,18.0,15.0,0,27.4,risk_off,risk_off,-2.2929679913994083,-5.711472093880343
2022-08-10,318.4184875488281,176.00360106149333,43919.93600971451,439.19936009714513,0.14101170096302007,0.08152794264653984,0.0,0.2725534932055812,0.8979591836734694,0.40816326530612246,0.15566466872278983,10.0,10.0,6.0,15.0,0,31.4,risk_off,risk_off,-2.2438170382676703,-7.796165531764276
2022-08-11,316.6111755371094,175.00462193577465,43919.93600971451,439.19936009714513,0.13049865131892235,0.08800098578218929,0.005675901627544833,0.2759420875699441,0.9081632653061225,0.3673469387755102,0.13932014029561013,10.0,10.0,6.0,15.0,0,35.4,caution,caution,2.61439941523538,-5.242553650871374
2022-08-12,322.7757873535156,178.41206817793847,46082.305043691245,460.82305043691247,0.13197692961370278,0.08118111847637399,0.0,0.27673940958289706,0.9285714285714286,0.4387755102040816,0.13492482664174676,10.0,10.0,6.0,15.0,0,39.4,caution,caution,-7.034250245959683,-5.947535515982894
2022-08-15,325.38421630859375,179.85385911395127,48320.41142906552,483.2041142906552,0.15086413655209752,0.1461847573473789,0.0,0.27116088608261324,0.9387755102040817,0.47959183673469385,0.15470079925116498,10.0,22.0,6.0,15.0,0,43.8,caution,caution,-15.750825955952463,-11.817703492434484
2022-08-16,324.62213134765625,179.43262196006512,45908.46647014529,459.0846647014529,0.1139121180410585,0.1496607829854124,0.0023421079534317046,0.25814862815584627,0.9387755102040817,0.4897959183673469,0.1072595736026477,10.0,22.0,6.0,15.0,0,45.8,caution,caution,-6.994739691251606,-10.909478399333361
2022-08-17,320.9194641113281,177.38599843596393,43627.90569376935,436.27905693769355,0.0840180590490951,0.14009059891273923,0.013721477482581013,0.2618011199650234,0.9081632653061225,0.45918367346938777,0.07322461053852991,10.0,22.0,6.0,15.0,0,48.2,caution,caution,-3.4347603541235783,-11.382385264812134
2022-08-18,321.6912841796875,177.81261660266802,41453.48398228368,414.5348398228368,0.07124735228781742,0.12414120533691886,0.011349450722600185,0.2590569282487533,0.8979591836734694,0.45918367346938777,0.07390715561717942,10.0,22.0,6.0,15.0,0,50.6,selective,selective,-6.928199093373855,-12.13555787871946
2022-08-19,315.41925048828125,174.34579366734073,39381.69311387552,393.81693113875514,0.06910819503305432,0.1261686183864006,0.03062522802538692,0.2612612510835071,0.8673469387755102,0.3877551020408163,0.06704233731389231,10.0,10.0,18.0,15.0,0,53.0,selective,selective,2.849122922727476,-9.690577997066075
2022-08-22,307.1151428222656,169.75575599687733,37417.279118845545,374.17279118845545,0.04692458881868977,0.08138518928043936,0.05614615759051378,0.2804267543567335,0.8061224489795918,0.3163265306122449,0.045503890881910536,10.0,0.0,25.0,15.0,0,52.4,selective,selective,13.51324633159956,-7.988016951077592
