ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
QCOM,2025-04-21,2025-04-22,85.71428571428571,14,4054.607623091423,3,13.515358743638078,14.866894618001886,136.13999938964844,138.74000549316406,405.4607623091424,10.000000000000002,tp_day1
FTNT,2025-04-22,2025-04-23,86.66666666666667,30,4084.8294888299297,5,8.169658977659859,8.986624875425846,94.37000274658203,97.0,408.4829488829928,9.999999999999995,tp_day1
TMUS,2025-04-23,2025-04-24,100.0,10,3884.8265905134285,3,12.949421968378095,14.244364165215906,259.3500061035156,262.17999267578125,388.48265905134394,10.000000000000028,tp_day1
CTAS,2025-04-24,2025-04-28,95.23809523809523,21,4609.669682619748,4,11.52417420654937,10.371756785894434,209.75,208.27999877929688,-460.9669682619742,-9.999999999999988,stop
BKR,2025-04-25,2025-04-28,94.73684210526315,19,4483.235728655732,12,3.7360297738797765,4.109632751267754,36.45000076293945,36.209999084472656,448.3235728655736,10.00000000000001,tp_day1
CTAS,2025-04-28,2025-04-29,95.23809523809523,21,4539.9670016642585,4,11.349917504160647,12.484909254576714,208.27999877929688,209.25999450683594,453.9967001664272,10.00000000000003,tp_day1
CSGP,2025-04-29,2025-04-30,100.0,20,4811.278888917368,9,5.345865432130409,4.811278888917368,82.69999694824219,74.16999816894531,-481.1278888917368,-10.0,stop
EA,2025-04-30,2025-05-01,100.0,12,4750.856325908355,7,6.786937608440506,7.465631369284557,145.08999633789062,145.10000610351562,475.0856325908353,9.999999999999996,tp_day1
TMUS,2025-05-01,2025-05-02,100.0,14,3640.1850596053628,2,18.200925298026814,20.021017827829496,247.0,248.8800048828125,364.01850596053646,10.000000000000005,tp_day1
MNST,2025-05-02,2025-05-05,97.72727272727273,44,5139.7171590582775,20,2.569858579529139,2.312872721576225,60.04999923706055,60.90999984741211,-513.9717159058273,-9.999999999999991,stop
MNST,2025-05-05,2025-05-06,96.42857142857143,28,4813.026963266162,21,2.291917601555315,2.0627258413997835,60.90999984741211,60.02000045776367,-481.30269632661657,-10.000000000000007,stop
CTAS,2025-05-06,2025-05-07,97.05882352941177,34,4335.214504182247,5,8.670429008364493,9.537471909200944,213.30999755859375,215.11000061035156,433.52145041822496,10.000000000000005,tp_day1
MNST,2025-05-07,2025-05-08,97.72727272727273,44,4871.914938047203,24,2.029964557519668,1.826968101767701,60.560001373291016,60.13999938964844,-487.19149380472027,-10.0,stop
CPRT,2025-05-08,2025-05-09,93.61702127659575,47,4477.896266135129,26,1.722267794667357,1.8944945741340928,61.779998779296875,61.52000045776367,447.78962661351216,9.999999999999984,tp_day1
DASH,2025-05-09,2025-05-12,91.17647058823529,34,3669.12906649084,3,12.230430221636134,13.453473243799747,183.52000427246094,192.10000610351562,366.9129066490841,10.000000000000002,tp_day1
CSGP,2025-05-12,2025-05-13,96.96969696969697,33,4841.424765799755,10,4.841424765799755,5.325567242379731,75.37999725341797,75.18000030517578,484.14247657997566,10.000000000000004,tp_day1
INTU,2025-05-13,2025-05-14,94.73684210526315,19,4268.964764440727,2,21.344823822203633,23.479306204424,656.7999877929688,652.8300170898438,426.8964764440725,9.999999999999996,tp_day1
MNST,2025-05-14,2025-05-15,97.61904761904762,42,5506.72103343547,36,1.529644731509853,1.6826092046608383,61.0,62.33000183105469,550.6721033435479,10.000000000000014,tp_day1
AMAT,2025-05-15,2025-05-16,93.93939393939394,33,5065.4537267449505,6,8.442422877908252,7.598180590117426,174.75,165.57000732421875,-506.5453726744945,-9.99999999999999,stop
MNST,2025-05-16,2025-05-19,97.05882352941177,34,5492.061143565312,34,1.615312101048621,1.7768433111534834,62.86000061035156,62.900001525878906,549.2061143565315,10.000000000000005,tp_day1
MNST,2025-05-19,2025-05-20,97.05882352941177,34,5715.912928838783,36,1.5877535913441065,1.7465289504785173,62.900001525878906,62.9900016784668,571.5912928838789,10.000000000000009,tp_day1
MNST,2025-05-20,2025-05-21,97.22222222222221,36,5991.052718273138,40,1.4977631795682846,1.6475394975251132,62.9900016784668,63.099998474121094,599.105271827314,10.000000000000004,tp_day1
MSTR,2025-05-21,2025-05-22,93.75,16,4577.422794100545,2,22.887113970502725,25.175825367553,402.69000244140625,399.4599914550781,457.74227941005483,10.000000000000007,tp_day1
ZS,2025-05-22,2025-05-23,97.36842105263158,38,6350.026622604168,10,6.350026622604168,5.715023960343752,252.82000732421875,254.10000610351562,-635.0026622604164,-9.999999999999993,stop
LRCX,2025-05-23,2025-05-27,100.0,11,6116.943250828366,15,4.077962167218911,4.485758383940802,81.05999755859375,83.94000244140625,611.6943250828372,10.000000000000009,tp_day1
CEG,2025-05-27,2025-05-28,92.5,40,5784.145437972804,3,19.280484793242678,21.208533272566946,309.05999755859375,308.04998779296875,578.4145437972802,9.999999999999996,tp_day1
MSTR,2025-05-28,2025-05-29,94.73684210526315,19,4629.94538928265,2,23.14972694641325,25.464699641054576,364.25,370.6300048828125,462.9945389282657,10.000000000000016,tp_day1
TMUS,2025-05-29,2025-05-30,100.0,16,7010.377255168112,12,5.8419810459734265,6.4261791505707695,239.3000030517578,242.1999969482422,701.0377255168114,10.000000000000002,tp_day1
AXON,2025-05-30,2025-06-02,97.61904761904762,42,5136.902688093504,1,51.369026880935046,56.50592956902855,750.3599853515625,758.5700073242188,513.6902688093505,10.000000000000002,tp_day1
TMUS,2025-06-02,2025-06-03,100.0,16,7421.097858147797,12,6.184248215123164,6.802673036635481,243.05999755859375,243.8800048828125,742.1097858147805,10.000000000000012,tp_day1
CRWD,2025-06-03,2025-06-04,97.22222222222221,36,7459.681739805055,3,24.86560579935018,22.379045219415165,488.760009765625,460.55999755859375,-745.9681739805055,-10.0,stop
AXON,2025-06-04,2025-06-05,97.61904761904762,42,5096.016760703483,1,50.960167607034826,56.05618436773831,780.0,788.3599853515625,509.60167607034873,10.000000000000009,tp_day1
NFLX,2025-06-05,2025-06-06,97.61904761904762,42,7754.458535923892,21,3.6925993028209008,3.3233393725388107,125.052001953125,124.14700317382812,-775.4458535923895,-10.000000000000005,stop
WMT,2025-06-06,2025-06-09,100.0,20,7476.48984424183,37,2.02067293087617,2.2227402239637875,97.47000122070312,97.44999694824219,747.6489844241833,10.000000000000004,tp_day1
WMT,2025-06-09,2025-06-10,100.0,23,7824.18750016834,39,2.0062019231200874,1.8055817308080786,97.44999694824219,97.31999969482422,-782.4187500168346,-10.000000000000007,stop
WMT,2025-06-10,2025-06-11,100.0,18,7418.550832760309,37,2.0050137385838673,1.8045123647254806,97.31999969482422,95.80000305175781,-741.8550832760311,-10.000000000000002,stop
CTAS,2025-06-11,2025-06-12,100.0,18,7211.855345132329,17,4.24226785007784,4.666494635085624,221.72000122070312,223.57000732421875,721.1855345132326,9.999999999999996,tp_day1
WMT,2025-06-13,2025-06-16,100.0,22,7473.9177991070255,37,2.0199777835424393,1.8179800051881954,94.44000244140625,94.29000091552734,-747.3917799107021,-9.999999999999993,stop
IDXX,2025-06-16,2025-06-17,93.61702127659575,47,5869.230150844451,4,14.673075377111127,13.205767839400014,528.77001953125,520.5900268554688,-586.9230150844451,-10.0,stop
WMT,2025-06-17,2025-06-18,100.0,25,6781.113221328783,38,1.784503479297048,1.962953827226753,94.25,95.08999633789062,678.1113221328787,10.000000000000005,tp_day1
MNST,2025-06-18,2025-06-20,97.77777777777777,45,7123.509135180623,56,1.2720552027108256,1.1448496824397432,63.189998626708984,63.09000015258789,-712.3509135180611,-9.999999999999984,stop
ADSK,2025-06-20,2025-06-23,97.82608695652173,46,6459.398107936335,10,6.459398107936335,5.813458297142701,297.2099914550781,300.95001220703125,-645.9398107936331,-9.999999999999995,stop
ADSK,2025-06-23,2025-06-24,100.0,20,6021.174031710011,9,6.690193368566679,7.359212705423348,300.95001220703125,304.19000244140625,602.1174031710025,10.000000000000023,tp_day1
AXON,2025-06-24,2025-06-25,100.0,11,5064.87474574805,2,25.32437372874025,22.791936355866227,794.25,785.0700073242188,-506.48747457480476,-9.999999999999995,stop
GILD,2025-06-25,2025-06-26,100.0,11,6359.286741172864,19,3.3469930216699284,3.6816923238369217,105.93000030517578,107.62000274658203,635.9286741172873,10.000000000000014,tp_day1
ADSK,2025-06-26,2025-06-27,100.0,29,6662.87911163135,10,6.66287911163135,7.329167022794485,304.92999267578125,305.1300048828125,666.2879111631355,10.000000000000009,tp_day1
AXON,2025-06-27,2025-06-30,100.0,44,4929.0259750674,2,24.645129875337002,27.109642862870704,818.5999755859375,827.9400024414062,492.9025975067407,10.000000000000012,tp_day1
AXON,2025-06-30,2025-07-01,100.0,44,7071.709942360234,3,23.572366474534114,21.215129827080702,827.9400024414062,775.3800048828125,-707.170994236024,-10.000000000000007,stop
ADSK,2025-07-01,2025-07-02,100.0,22,6894.626096988012,10,6.894626096988012,6.2051634872892105,311.6700134277344,310.3399963378906,-689.4626096988022,-10.000000000000014,stop
CRWD,2025-07-02,2025-07-03,100.0,37,6785.316774120956,3,22.61772258040319,24.87949483844351,496.1000061035156,514.0999755859375,678.5316774120965,10.000000000000012,tp_day1
ALNY,2025-07-03,2025-07-07,100.0,42,6182.3107503902975,6,10.303851250650496,9.273466125585447,331.9100036621094,324.1300048828125,-618.2310750390288,-9.999999999999986,stop
AXON,2025-07-07,2025-07-08,100.0,36,6800.143408388918,2,34.00071704194459,30.60064533775013,802.1599731445312,790.219970703125,-680.0143408388922,-10.000000000000005,stop
ROP,2025-07-08,2025-07-09,100.0,30,5682.583207297468,5,11.365166414594938,10.228649773135444,564.5900268554688,558.6400146484375,-568.2583207297466,-9.999999999999996,stop
ZS,2025-07-09,2025-07-10,100.0,36,5832.561244722363,8,7.290701555902953,6.561631400312658,316.5,296.17999267578125,-583.2561244722365,-10.000000000000004,stop
ALNY,2025-07-10,2025-07-11,100.0,42,5284.610830682733,5,10.569221661365466,9.51229949522892,322.6400146484375,314.94000244140625,-528.4610830682732,-9.999999999999998,stop
WBD,2025-07-11,2025-07-14,100.0,27,5660.0319482757495,94,0.6021310583272074,0.6623441641599281,11.729999542236328,12.010000228881836,566.0031948275746,9.999999999999993,tp_day1
WBD,2025-07-14,2025-07-15,100.0,41,5928.886216039318,102,0.5812633545136586,0.6393896899650245,12.010000228881836,12.029999732971191,592.8886216039318,10.0,tp_day1
STX,2025-07-15,2025-07-16,100.0,11,5992.03727409342,11,5.4473066128122,4.902575951530981,149.0500030517578,147.1199951171875,-599.2037274093409,-9.99999999999998,stop
ROP,2025-07-16,2025-07-17,100.0,28,5268.532723599728,5,10.537065447199456,11.590771991919404,545.22998046875,546.3499755859375,526.8532723599728,10.0,tp_day1
WBD,2025-07-17,2025-07-18,100.0,39,6185.435011188628,120,0.5154529175990523,0.4639076258391471,12.84000015258789,12.75,-618.5435011188629,-10.000000000000002,stop
KLAC,2025-07-18,2025-07-21,100.0,20,5351.997011364846,2,26.75998505682423,24.08398655114181,931.1199951171875,937.760009765625,-535.1997011364838,-9.999999999999986,stop
WBD,2025-07-21,2025-07-22,100.0,37,5597.738419040502,109,0.5135539833982111,0.5649093817380323,12.800000190734863,12.850000381469727,559.7738419040497,9.999999999999993,tp_day1
CEG,2025-07-22,2025-07-23,100.0,15,5730.8586675366405,4,14.327146668841602,15.759861335725763,317.7900085449219,323.70001220703125,573.085866753665,10.000000000000016,tp_day1
ALNY,2025-07-23,2025-07-24,100.0,36,5536.962387793517,5,11.073924775587034,12.181317253145739,325.6400146484375,328.0,553.6962387793519,10.000000000000004,tp_day1
WBD,2025-07-24,2025-07-25,100.0,37,6438.72143547323,116,0.5550621927132094,0.4995559734418885,13.5,13.489999771118164,-643.8721435473226,-9.999999999999995,stop
ALNY,2025-07-25,2025-07-28,100.0,29,5476.23634074059,5,10.952472681481181,12.0477199496293,328.80999755859375,324.7900085449219,547.6236340740597,10.000000000000012,tp_day1
CEG,2025-07-28,2025-07-29,100.0,24,5766.1113856244765,4,14.415278464061192,15.856806310467313,328.6600036621094,330.5199890136719,576.611138562449,10.000000000000025,tp_day1
LRCX,2025-07-29,2025-07-30,100.0,24,6604.177976008477,22,3.0018990800038536,3.3020889880042392,98.94000244140625,99.08999633789062,660.4177976008486,10.000000000000014,tp_day1
